C3,C4,C5,C6,C7,C8,Pressure,LH
0.2035,0.0241,0.4310,0.0193,0.1547,0.1674,13.3661,31.9421
0.3119,0.0344,0.0616,0.2202,0.1905,0.1814,14.5757,35.4178
0.0124,0.1044,0.7381,0.0469,0.0302,0.0680,13.0043,22.3269
0.0184,0.0644,0.0099,0.4767,0.2998,0.1308,14.4910,23.4004
0.1353,0.1807,0.0998,0.4489,0.0744,0.0609,5.6617,33.1319
0.1159,0.2832,0.0005,0.0691,0.3603,0.1710,12.1059,34.6784
0.0856,0.2227,0.0969,0.1541,0.2129,0.2278,18.8421,27.8345
0.1275,0.2594,0.0727,0.0720,0.3258,0.1426,16.0003,30.8894
0.0301,0.0314,0.3392,0.1989,0.1261,0.2743,2.0860,38.1133
0.2854,0.1142,0.1049,0.0528,0.1348,0.3079,16.8971,35.8934
0.1766,0.4032,0.0750,0.0567,0.2236,0.0649,1.9017,36.0754
0.2200,0.2024,0.1322,0.0993,0.1854,0.1607,3.6171,39.2496
0.1762,0.4562,0.0901,0.0355,0.0716,0.1704,11.2666,31.6043
0.0163,0.1047,0.0467,0.5310,0.0156,0.2857,8.4083,30.7877
0.0714,0.0771,0.0867,0.1127,0.0965,0.5556,14.8076,31.7323
0.1485,0.1149,0.2788,0.0251,0.1105,0.3222,19.3603,30.0942
0.0053,0.1599,0.1350,0.0456,0.0662,0.5880,7.8796,36.8915
0.1569,0.0476,0.1103,0.2407,0.4192,0.0253,15.9000,28.4493
0.2025,0.0325,0.4152,0.0970,0.1436,0.1092,4.2687,36.3308
0.0486,0.0042,0.0110,0.2673,0.1522,0.5167,3.6230,39.3759
0.1142,0.0748,0.0297,0.0925,0.2131,0.4757,6.3358,43.1298
0.5146,0.0378,0.1588,0.0033,0.2051,0.0804,15.7586,30.9913
0.0727,0.0122,0.0265,0.2308,0.0329,0.6249,9.6050,35.2741
0.0251,0.0704,0.3347,0.0063,0.3621,0.2014,1.6386,39.1527
0.0722,0.0620,0.1694,0.1228,0.1232,0.4504,16.4881,29.3810
0.2655,0.0001,0.0631,0.2048,0.1912,0.2753,13.7979,37.4861
0.0589,0.3447,0.0452,0.0047,0.2589,0.2876,14.4341,33.1613
0.3568,0.1780,0.0731,0.1184,0.1502,0.1235,16.4787,31.2462
0.1164,0.1215,0.0920,0.3356,0.1613,0.1732,11.4609,32.3494
0.1941,0.1784,0.1426,0.0179,0.3267,0.1403,10.2681,36.0107
0.0042,0.0826,0.1313,0.4668,0.0154,0.2997,19.6557,20.6142
0.1782,0.3355,0.3077,0.0489,0.0050,0.1247,2.0631,34.1911
0.4424,0.2563,0.1702,0.0664,0.0623,0.0024,4.7456,27.1616
0.1290,0.1999,0.0719,0.1315,0.4418,0.0259,3.8726,37.8876
0.2352,0.0565,0.3885,0.0133,0.2617,0.0448,13.3809,29.9635
0.1091,0.1174,0.5775,0.0183,0.1057,0.0720,7.3230,29.7901
0.1623,0.0670,0.0132,0.0547,0.1294,0.5734,16.7440,35.6803
0.1762,0.0194,0.0544,0.1813,0.1911,0.3776,8.1154,41.7382
0.0290,0.3129,0.0764,0.0704,0.2591,0.2522,10.5134,33.9695
0.0151,0.2721,0.0987,0.3663,0.0595,0.1883,17.9127,24.4580
0.4117,0.0166,0.0684,0.2692,0.0169,0.2172,1.3883,41.4601
0.3234,0.0631,0.0555,0.0522,0.0964,0.4094,3.7431,46.9387
0.0593,0.3353,0.1754,0.3581,0.0055,0.0664,9.3684,27.6536
0.0518,0.0665,0.1556,0.2104,0.1703,0.3454,6.0555,36.9487
0.0157,0.2815,0.0615,0.3701,0.1727,0.0985,1.4617,36.6185
0.1862,0.2033,0.0193,0.2047,0.1491,0.2374,3.5203,41.7388
0.0733,0.0192,0.5421,0.1248,0.1635,0.0771,3.8380,33.0248
0.0032,0.2728,0.1469,0.1683,0.1069,0.3019,7.3088,34.8671
0.0539,0.5201,0.0590,0.0719,0.2192,0.0759,15.4642,26.9743
0.0389,0.0651,0.0367,0.3483,0.0705,0.4405,13.6067,28.5963
0.2010,0.1893,0.3927,0.0902,0.0188,0.1080,9.2373,30.1729
0.0820,0.1208,0.3916,0.0056,0.0535,0.3465,16.7205,29.8747
0.3748,0.0190,0.0108,0.1206,0.1850,0.2898,9.1776,42.6990
0.4243,0.0382,0.1237,0.2270,0.1399,0.0469,6.0277,34.5329
0.4089,0.0099,0.1601,0.2114,0.1244,0.0853,14.1186,31.8539
0.0033,0.4518,0.0483,0.2459,0.1969,0.0538,9.6945,28.8382
0.5126,0.1414,0.2040,0.0663,0.0372,0.0385,16.3821,24.0619
0.2675,0.2343,0.0148,0.1912,0.2880,0.0042,7.4374,33.8695
0.1118,0.5464,0.0686,0.0571,0.1316,0.0845,4.5287,32.4491
0.1334,0.1008,0.1950,0.3449,0.1365,0.0894,6.1694,34.1587
0.5109,0.0937,0.0042,0.1600,0.0962,0.1350,3.0996,37.2096
0.0970,0.2614,0.1024,0.1056,0.3422,0.0914,13.9702,30.3049
0.3215,0.0498,0.0473,0.2647,0.2746,0.0421,14.6423,32.4041
0.3215,0.3240,0.1321,0.0153,0.1637,0.0434,13.1179,28.0292
0.0715,0.0935,0.1319,0.2673,0.1438,0.2920,18.9473,25.6357
0.2790,0.3999,0.1841,0.0483,0.0838,0.0049,12.8334,23.6847
0.0030,0.1358,0.2780,0.5269,0.0130,0.0433,18.2634,18.8299
0.1892,0.0046,0.5149,0.0382,0.1266,0.1265,5.3250,35.3332
0.1327,0.2692,0.1467,0.0384,0.0407,0.3723,15.0924,34.5437
0.0031,0.0827,0.0690,0.4200,0.3928,0.0324,9.2020,26.4954
0.0817,0.1957,0.0303,0.4258,0.1284,0.1381,15.8171,27.1847
0.1504,0.1954,0.4121,0.0955,0.1393,0.0073,3.7138,31.1842
0.1465,0.1317,0.4086,0.0257,0.0341,0.2534,8.9606,34.9234
0.1647,0.0950,0.2028,0.4300,0.0072,0.1003,5.9631,33.5580
0.1928,0.4945,0.1047,0.1360,0.0063,0.0657,10.0593,26.8319
0.0518,0.1970,0.1574,0.1521,0.3962,0.0455,6.4079,33.4225
0.4388,0.1010,0.0120,0.1465,0.0016,0.3001,18.2357,35.1085
0.0179,0.4183,0.1538,0.3019,0.0648,0.0433,15.9417,22.8976
0.1844,0.0893,0.3452,0.0339,0.2683,0.0789,13.1565,30.6890
0.2830,0.0903,0.1313,0.0064,0.3062,0.1828,13.6321,36.4362
0.0130,0.0849,0.2048,0.0449,0.0451,0.6073,15.5654,28.1133
0.3005,0.1032,0.0803,0.0873,0.3166,0.1121,18.7580,31.6446
0.0734,0.1203,0.4104,0.0628,0.1823,0.1508,4.9817,34.9573
0.6985,0.0105,0.0878,0.0058,0.0901,0.1073,15.2343,29.0432
0.3129,0.0493,0.1558,0.2868,0.0935,0.1017,4.5943,37.0397
0.1189,0.0485,0.0982,0.1140,0.4023,0.2181,14.7278,31.1990
0.1909,0.2270,0.2550,0.2468,0.0651,0.0152,14.2547,25.0751
0.1418,0.0167,0.0112,0.7116,0.0272,0.0915,6.0610,33.8085
0.0838,0.3267,0.2409,0.0396,0.2495,0.0595,4.4086,33.8160
0.3470,0.1136,0.2846,0.0942,0.1033,0.0573,3.6689,33.7892
0.1970,0.3794,0.0701,0.0781,0.0028,0.2726,17.5823,31.1986
0.4687,0.2701,0.0432,0.0697,0.1366,0.0117,7.1710,28.8047
0.3663,0.1259,0.1653,0.2086,0.1193,0.0146,2.3153,33.8252
0.1923,0.0476,0.1386,0.1943,0.1312,0.2960,10.4002,37.9777
0.0287,0.1624,0.0416,0.4732,0.0075,0.2866,3.3406,37.3743
0.1386,0.0891,0.1375,0.4280,0.1862,0.0206,17.9359,24.3453
0.0348,0.1614,0.1226,0.2482,0.2890,0.1440,7.0534,33.2940
0.2072,0.4204,0.2206,0.0198,0.0046,0.1274,9.4571,29.3966
0.0691,0.0711,0.2235,0.0279,0.1313,0.4771,12.4676,34.1008
0.1310,0.2197,0.0933,0.1368,0.2924,0.1268,16.8660,29.4260
0.0994,0.0829,0.3274,0.0372,0.2585,0.1946,18.3140,27.0898
0.4198,0.0761,0.0573,0.0774,0.0590,0.3104,14.0677,38.2734
0.1061,0.1568,0.2135,0.0992,0.0918,0.3326,19.5847,28.6613
0.4289,0.1705,0.0509,0.2385,0.0565,0.0547,8.1911,31.1339
0.7015,0.0211,0.0376,0.0490,0.1663,0.0245,10.8366,28.7758
0.0158,0.2450,0.3327,0.1364,0.1112,0.1589,14.9293,26.2413
0.0890,0.0815,0.2390,0.1124,0.1311,0.3470,1.3412,44.1507
0.4838,0.2419,0.0207,0.0525,0.0575,0.1436,9.6154,32.3180
0.1193,0.0258,0.1488,0.0219,0.3913,0.2929,16.8014,29.9867
0.4957,0.1270,0.1321,0.0119,0.1140,0.1193,19.2225,28.6811
0.1535,0.1239,0.0863,0.0511,0.5100,0.0752,15.5601,31.1571
0.0316,0.4654,0.0259,0.2944,0.0480,0.1347,11.0215,29.3328
0.2565,0.1846,0.0005,0.3026,0.0873,0.1685,11.4688,34.7291
0.1251,0.0559,0.1234,0.3905,0.3034,0.0017,6.5299,33.2426
0.0540,0.1803,0.3895,0.1545,0.0985,0.1232,9.1498,29.8232
0.1469,0.1651,0.0433,0.3166,0.1147,0.2134,8.0142,36.8225
0.0546,0.0657,0.3401,0.2328,0.0053,0.3015,14.6543,28.2464
0.0974,0.2246,0.2837,0.1245,0.0368,0.2330,8.5803,34.0972
0.0691,0.0133,0.6436,0.1608,0.0663,0.0469,1.8378,32.4786
0.0119,0.2308,0.2583,0.1782,0.0678,0.2530,11.9535,29.9338
0.2300,0.1381,0.0447,0.1439,0.0350,0.4083,7.8858,42.8049
0.3580,0.0338,0.3403,0.0494,0.0957,0.1228,15.9290,30.1345
