C3,C4,C5,C6,C7,C8,Pressure,Vapor_Fraction,Temperature
0.2035,0.0241,0.431,0.0193,0.1547,0.1674,13.3661,0.1328,401.6334111
0.3119,0.0344,0.0616,0.2202,0.1905,0.1814,14.5757,0.6708,449.888008
0.0124,0.1044,0.7381,0.0469,0.0302,0.068,13.0043,0.8604,425.8904512
0.0184,0.0644,0.0099,0.4767,0.2998,0.1308,14.491,0.1206,466.6100177
0.1353,0.1807,0.0998,0.4489,0.0744,0.0609,5.6617,0.3133,373.9825992
0.1159,0.2832,0.0005,0.0691,0.3603,0.171,12.1059,0.0757,404.7390428
0.0856,0.2227,0.0969,0.1541,0.2129,0.2278,18.8421,0.6242,474.5438993
0.1275,0.2594,0.0727,0.072,0.3258,0.1426,16.0003,0.1384,424.0630608
0.0301,0.0314,0.3392,0.1989,0.1261,0.2743,2.086,0.7791,384.4812562
0.2854,0.1142,0.1049,0.0528,0.1348,0.3079,16.8971,0.4384,442.7688419
0.1766,0.4032,0.075,0.0567,0.2236,0.0649,1.9017,0.1165,292.7232532
0.22,0.2024,0.1322,0.0993,0.1854,0.1607,3.6171,0.8979,393.5393885
0.1762,0.4562,0.0901,0.0355,0.0716,0.1704,11.2666,0.7436,412.5476302
0.0163,0.1047,0.0467,0.531,0.0156,0.2857,8.4083,0.2542,431.1107904
0.0714,0.0771,0.0867,0.1127,0.0965,0.5556,14.8076,0.7729,497.5412452
0.1485,0.1149,0.2788,0.0251,0.1105,0.3222,19.3603,0.5844,471.7958327
0.0053,0.1599,0.135,0.0456,0.0662,0.588,7.8796,0.3516,447.010397
0.1569,0.0476,0.1103,0.2407,0.4192,0.0253,15.9,0.3917,452.7546899
0.2025,0.0325,0.4152,0.097,0.1436,0.1092,4.2687,0.893,391.8781168
0.0486,0.0042,0.011,0.2673,0.1522,0.5167,3.623,0.1294,409.4949671
0.1142,0.0748,0.0297,0.0925,0.2131,0.4757,6.3358,0.5518,442.7147347
0.5146,0.0378,0.1588,0.0033,0.2051,0.0804,15.7586,0.453,388.705328
0.0727,0.0122,0.0265,0.2308,0.0329,0.6249,9.605,0.9239,482.3133656
0.0251,0.0704,0.3347,0.0063,0.3621,0.2014,1.6386,0.9332,381.5046613
0.0722,0.062,0.1694,0.1228,0.1232,0.4504,16.4881,0.7877,495.7045033
0.2655,0.0001,0.0631,0.2048,0.1912,0.2753,13.7979,0.6431,461.0131102
0.0589,0.3447,0.0452,0.0047,0.2589,0.2876,14.4341,0.2721,438.8053179
0.3568,0.178,0.0731,0.1184,0.1502,0.1235,16.4787,0.0318,376.9572674
0.1164,0.1215,0.092,0.3356,0.1613,0.1732,11.4609,0.8879,453.8277887
0.1941,0.1784,0.1426,0.0179,0.3267,0.1403,10.2681,0.74,435.4933547
0.0042,0.0826,0.1313,0.4668,0.0154,0.2997,19.6557,0.2531,484.8610942
0.1782,0.3355,0.3077,0.0489,0.005,0.1247,2.0631,0.4977,314.0412564
0.4424,0.2563,0.1702,0.0664,0.0623,0.0024,4.7456,0.2818,306.5124902
0.129,0.1999,0.0719,0.1315,0.4418,0.0259,3.8726,0.481,379.4826406
0.2352,0.0565,0.3885,0.0133,0.2617,0.0448,13.3809,0.1376,392.0462707
0.1091,0.1174,0.5775,0.0183,0.1057,0.072,7.323,0.6149,388.7184468
0.1623,0.067,0.0132,0.0547,0.1294,0.5734,16.744,0.8896,506.551536
0.1762,0.0194,0.0544,0.1813,0.1911,0.3776,8.1154,0.6399,448.1691654
0.029,0.3129,0.0764,0.0704,0.2591,0.2522,10.5134,0.6209,445.751675
0.0151,0.2721,0.0987,0.3663,0.0595,0.1883,17.9127,0.2492,452.130806
0.4117,0.0166,0.0684,0.2692,0.0169,0.2172,1.3883,0.0639,265.3640833
0.3234,0.0631,0.0555,0.0522,0.0964,0.4094,3.7431,0.1869,327.5439564
0.0593,0.3353,0.1754,0.3581,0.0055,0.0664,9.3684,0.4085,394.2050119
0.0518,0.0665,0.1556,0.2104,0.1703,0.3454,6.0555,0.7034,435.483415
0.0157,0.2815,0.0615,0.3701,0.1727,0.0985,1.4617,0.9599,364.0969671
0.1862,0.2033,0.0193,0.2047,0.1491,0.2374,3.5203,0.7253,393.0908853
0.0733,0.0192,0.5421,0.1248,0.1635,0.0771,3.838,0.8062,384.7308469
0.0032,0.2728,0.1469,0.1683,0.1069,0.3019,7.3088,0.7767,434.9075678
0.0539,0.5201,0.059,0.0719,0.2192,0.0759,15.4642,0.7852,438.1057894
