C3,C4,C5,C6,C7,C8,Pressure,C3_vap,C4_vap,C5_vap,C6_vap,C7_vap,C8_vap
0.2035,0.0241,0.4310,0.0193,0.1547,0.1674,13.3661,0.5939,0.0347,0.3147,0.0071,0.0318,0.0178
0.3119,0.0344,0.0616,0.2202,0.1905,0.1814,14.5757,0.7981,0.0427,0.0402,0.0703,0.0324,0.0163
0.0124,0.1044,0.7381,0.0469,0.0302,0.0680,13.0043,0.0419,0.1899,0.7197,0.0258,0.0101,0.0126
0.0184,0.0644,0.0099,0.4767,0.2998,0.1308,14.4910,0.0712,0.1565,0.0159,0.4907,0.2049,0.0608
0.1353,0.1807,0.0998,0.4489,0.0744,0.0609,5.6617,0.5333,0.2733,0.0652,0.1169,0.0082,0.0030
0.1159,0.2832,0.0005,0.0691,0.3603,0.1710,12.1059,0.3860,0.4712,0.0005,0.0305,0.0891,0.0228
0.0856,0.2227,0.0969,0.1541,0.2129,0.2278,18.8421,0.2461,0.3866,0.1068,0.1034,0.0931,0.0640
0.1275,0.2594,0.0727,0.0720,0.3258,0.1426,16.0003,0.3689,0.4082,0.0666,0.0353,0.0964,0.0245
0.0301,0.0314,0.3392,0.1989,0.1261,0.2743,2.0860,0.2915,0.1098,0.4479,0.1011,0.0266,0.0232
0.2854,0.1142,0.1049,0.0528,0.1348,0.3079,16.8971,0.7027,0.1445,0.0725,0.0189,0.0273,0.0341
0.1766,0.4032,0.0750,0.0567,0.2236,0.0649,1.9017,0.6107,0.3596,0.0209,0.0037,0.0047,0.0004
0.2200,0.2024,0.1322,0.0993,0.1854,0.1607,3.6171,0.7234,0.2078,0.0480,0.0110,0.0076,0.0023
0.1762,0.4562,0.0901,0.0355,0.0716,0.1704,11.2666,0.4333,0.4936,0.0478,0.0080,0.0082,0.0091
0.0163,0.1047,0.0467,0.5310,0.0156,0.2857,8.4083,0.0880,0.2944,0.0731,0.4578,0.0074,0.0793
0.0714,0.0771,0.0867,0.1127,0.0965,0.5556,14.8076,0.2840,0.1873,0.1331,0.1089,0.0606,0.2262
0.1485,0.1149,0.2788,0.0251,0.1105,0.3222,19.3603,0.4076,0.1859,0.2742,0.0149,0.0419,0.0756
0.0053,0.1599,0.1350,0.0456,0.0662,0.5880,7.8796,0.0315,0.4958,0.2272,0.0415,0.0342,0.1698
0.1569,0.0476,0.1103,0.2407,0.4192,0.0253,15.9000,0.4955,0.0846,0.1171,0.1434,0.1538,0.0056
0.2025,0.0325,0.4152,0.0970,0.1436,0.1092,4.2687,0.7497,0.0406,0.1836,0.0149,0.0089,0.0024
0.0486,0.0042,0.0110,0.2673,0.1522,0.5167,3.6230,0.4800,0.0187,0.0236,0.2719,0.0761,0.1298
0.1142,0.0748,0.0297,0.0925,0.2131,0.4757,6.3358,0.6159,0.1813,0.0345,0.0494,0.0567,0.0622
0.5146,0.0378,0.1588,0.0033,0.2051,0.0804,15.7586,0.8900,0.0292,0.0602,0.0005,0.0169,0.0031
0.0727,0.0122,0.0265,0.2308,0.0329,0.6249,9.6050,0.4068,0.0382,0.0483,0.2463,0.0209,0.2395
0.0251,0.0704,0.3347,0.0063,0.3621,0.2014,1.6386,0.2581,0.2458,0.4170,0.0027,0.0634,0.0130
0.0722,0.0620,0.1694,0.1228,0.1232,0.4504,16.4881,0.2570,0.1373,0.2408,0.1117,0.0743,0.1789
0.2655,0.0001,0.0631,0.2048,0.1912,0.2753,13.7979,0.7916,0.0001,0.0502,0.0829,0.0422,0.0331
0.0589,0.3447,0.0452,0.0047,0.2589,0.2876,14.4341,0.1927,0.6145,0.0468,0.0026,0.0873,0.0562
0.3568,0.1780,0.0731,0.1184,0.1502,0.1235,16.4787,0.7298,0.1751,0.0380,0.0290,0.0197,0.0084
0.1164,0.1215,0.0920,0.3356,0.1613,0.1732,11.4609,0.4286,0.2265,0.0932,0.1768,0.0468,0.0281
0.1941,0.1784,0.1426,0.0179,0.3267,0.1403,10.2681,0.5951,0.2453,0.0951,0.0052,0.0491,0.0101
0.0042,0.0826,0.1313,0.4668,0.0154,0.2997,19.6557,0.0122,0.1645,0.1857,0.4692,0.0111,0.1574
0.1782,0.3355,0.3077,0.0489,0.0050,0.1247,2.0631,0.6134,0.3014,0.0811,0.0033,0.0001,0.0008
0.4424,0.2563,0.1702,0.0664,0.0623,0.0024,4.7456,0.8236,0.1395,0.0325,0.0033,0.0011,0.0000
0.1290,0.1999,0.0719,0.1315,0.4418,0.0259,3.8726,0.5765,0.3127,0.0446,0.0272,0.0382,0.0009
0.2352,0.0565,0.3885,0.0133,0.2617,0.0448,13.3809,0.6281,0.0723,0.2480,0.0040,0.0438,0.0038
0.1091,0.1174,0.5775,0.0183,0.1057,0.0720,7.3230,0.4090,0.1835,0.3829,0.0052,0.0149,0.0044
0.1623,0.0670,0.0132,0.0547,0.1294,0.5734,16.7440,0.5621,0.1378,0.0168,0.0423,0.0635,0.1775
0.1762,0.0194,0.0544,0.1813,0.1911,0.3776,8.1154,0.7494,0.0374,0.0510,0.0793,0.0418,0.0412
0.0290,0.3129,0.0764,0.0704,0.2591,0.2522,10.5134,0.1160,0.6352,0.0843,0.0393,0.0818,0.0434
0.0151,0.2721,0.0987,0.3663,0.0595,0.1883,17.9127,0.0444,0.4890,0.1143,0.2659,0.0280,0.0584
0.4117,0.0166,0.0684,0.2692,0.0169,0.2172,1.3883,0.9753,0.0083,0.0086,0.0073,0.0001,0.0003
0.3234,0.0631,0.0555,0.0522,0.0964,0.4094,3.7431,0.9168,0.0547,0.0164,0.0047,0.0031,0.0044
0.0593,0.3353,0.1754,0.3581,0.0055,0.0664,9.3684,0.2033,0.5228,0.1363,0.1304,0.0010,0.0062
0.0518,0.0665,0.1556,0.2104,0.1703,0.3454,6.0555,0.3201,0.1916,0.2209,0.1447,0.0602,0.0625
0.0157,0.2815,0.0615,0.3701,0.1727,0.0985,1.4617,0.1284,0.6984,0.0535,0.0999,0.0164,0.0033
